SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
2025-12-20 14:55:00+11:00,1,NSW1,179,34.94,0,0,"""2025/12/20 14:50:09""",34.94,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.29,0.29,0.38,0.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,FIRM
2025-12-20 14:55:00+11:00,1,QLD1,179,33.68,0,0,"""2025/12/20 14:50:09""",33.68,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.29,0.29,0.38,0.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,FIRM
2025-12-20 14:55:00+11:00,1,SA1,179,-41.97,0,0,"""2025/12/20 14:50:09""",-41.97,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.29,0.29,0.38,0.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,FIRM
2025-12-20 14:55:00+11:00,1,TAS1,179,54.22,0,0,"""2025/12/20 14:50:09""",54.22,0.36,0.36,0.36,0.36,0.04,0.04,4.36,4.36,0.29,0.29,0.38,0.38,0.38,0.38,1.11,1.11,0.04,0.04,0.04,0.04,FIRM
2025-12-20 14:55:00+11:00,1,VIC1,179,8.95,0,0,"""2025/12/20 14:50:09""",8.95,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.29,0.29,0.38,0.38,0.38,0.38,0.38,0.38,0.04,0.04,0.04,0.04,FIRM
2025-12-20 15:00:00+11:00,1,NSW1,180,58.69,0,0,"""2025/12/20 14:55:10""",58.69,0.1,0.1,0.04,0.04,0.04,0.04,1.0,1.0,0.29,0.29,0.38,0.38,0.38,0.38,0.75,0.75,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:00:00+11:00,1,QLD1,180,54.96,0,0,"""2025/12/20 14:55:10""",54.96,0.1,0.1,0.04,0.04,0.04,0.04,1.0,1.0,0.29,0.29,0.38,0.38,0.38,0.38,0.75,0.75,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:00:00+11:00,1,SA1,180,-21.0,0,0,"""2025/12/20 14:55:10""",-21.0,0.1,0.1,0.04,0.04,0.04,0.04,1.0,1.0,0.29,0.29,0.38,0.38,0.38,0.38,0.75,0.75,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:00:00+11:00,1,TAS1,180,38.98,0,0,"""2025/12/20 14:55:10""",38.98,0.36,0.36,0.36,0.36,0.04,0.04,4.36,4.36,0.29,0.29,0.38,0.38,0.38,0.38,1.11,1.11,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:00:00+11:00,1,VIC1,180,-5.83,0,0,"""2025/12/20 14:55:10""",-5.83,0.1,0.1,0.04,0.04,0.04,0.04,1.0,1.0,0.29,0.29,0.38,0.38,0.38,0.38,0.75,0.75,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:05:00+11:00,1,NSW1,181,59.1,0,0,"""2025/12/20 15:00:10""",59.1,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.1,0.1,0.28,0.28,0.1,0.1,0.99,0.99,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:05:00+11:00,1,QLD1,181,54.76,0,0,"""2025/12/20 15:00:10""",54.76,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.1,0.1,0.28,0.28,0.1,0.1,0.99,0.99,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:05:00+11:00,1,SA1,181,-223.55,0,0,"""2025/12/20 15:00:10""",-223.55,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.1,0.1,0.28,0.28,0.1,0.1,0.99,0.99,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:05:00+11:00,1,TAS1,181,36.72,0,0,"""2025/12/20 15:00:10""",36.72,0.36,0.36,0.36,0.36,0.04,0.04,4.36,4.36,0.1,0.1,0.28,0.28,0.1,0.1,1.11,1.11,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:05:00+11:00,1,VIC1,181,-7.99,0,0,"""2025/12/20 15:00:10""",-7.99,0.1,0.1,0.04,0.04,0.04,0.04,8.0,8.0,0.1,0.1,0.28,0.28,0.1,0.1,0.99,0.99,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:10:00+11:00,1,NSW1,182,80.02,0,0,"""2025/12/20 15:05:10""",80.02,0.1,0.1,0.04,0.04,0.04,0.04,9.23,9.23,0.1,0.1,0.28,0.28,0.1,0.1,0.99,0.99,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:10:00+11:00,1,QLD1,182,73.23,0,0,"""2025/12/20 15:05:10""",73.23,0.1,0.1,0.04,0.04,0.04,0.04,9.23,9.23,0.1,0.1,0.28,0.28,0.1,0.1,0.99,0.99,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:10:00+11:00,1,SA1,182,-200.0,0,0,"""2025/12/20 15:05:10""",-200.0,0.1,0.1,0.04,0.04,0.04,0.04,9.23,9.23,0.1,0.1,0.28,0.28,0.1,0.1,0.99,0.99,0.04,0.04,0.0,0.0,FIRM
2025-12-20 15:10:00+11:00,1,TAS1,182,38.96,0,0,"""2025/12/20 15:05:10""",38.96,0.36,0.36,0.36,0.36,0.04,0.04,4.36,4.36,0.1,0.1,0.28,0.28,0.1,0.1,1.11,1.11,0.04,0.04,0.0,0.0,FIRM
